SampleID,SiteID,Date,Year,State,StreamName,LatutudeWQ,LongitudeWQ,HabitatType,habitat,WaterTemp_C,DOPercent,DO_mgL,Turbidity_NTU,Conductivity_Scm,pH,Topeka_Shiner
18MNBSBVRT19,HA1,2018,2018,MN,Beaver_Creek_Tributary,43.615,-96.349,Oxbow,oxbow,18.2,56.1,,75.4,759,,21
18MNRKLRKR26,RA3,2018,2018,MN,Little_Rock_River,43.573,-95.757,Oxbow,oxbow,12.8,77.6,,119.2,760,,0
19MNRKLRKR05,RA3,2019,2019,MN,Little_Rock_River,43.573,-95.757,Oxbow,oxbow,12.2,65.3,,0.8,765,,0
19MNRKRKRT25,PR2,2019,2019,MN,Rock_River_Tributary,43.82,-96.084,Oxbow,oxbow,28.3,352.5,,36.3,769,,4
18MNRKLRKR21,LJ2,2018,2018,MN,Little_Rock_River,43.581,-95.756,Oxbow,oxbow,21.1,144.5,,106,776,,0
17MNRKCPPD19,KR1,6/1/2017,2017,MN,Champepedan_Creek,43.763,-96.048,Oxbow,oxbow,22.26,140.4,10.18,31.5,777.1,8.6,3
17MNRKELK25,RM1,6/1/2017,2017,MN,Elk_Creek,43.672,-96.064,Oxbow,oxbow,20.37,191.5,14.82,51.2,785.3,8.75,21
17MNRKELK23,RM3,6/1/2017,2017,MN,Elk_Creek,43.67,-96.067,Oxbow,oxbow,21.92,152.6,11.14,55,787,8.19,4
18MNBSBVRT18,HA3,2018,2018,MN,Beaver_Creek_Tributary,43.615,-96.352,Oxbow,oxbow,19.6,81.3,,112.5,787,,22
19MNRKLRKR09,JO3,2019,2019,MN,Little_Rock_River,43.584,-95.753,Oxbow,oxbow,21.1,134.2,,3.3,790,,10
18MNRKLRKR25,RA2,2018,2018,MN,Little_Rock_River,43.574,-95.757,Oxbow,oxbow,14.4,89.3,,119.9,794,,0
17MNRKRKR60,FE4,5/24/2017,2017,MN,Rock_River,43.892,-96.16,Oxbow,oxbow,12.89,68.8,6.22,30.7,795.1,7.94,12
18MNRKLRKR20,LJ1,2018,2018,MN,Little_Rock_River,43.58,-95.756,Oxbow,oxbow,24.6,161.3,,107,798,,0
17MNRKRKRT58,KA2,5/24/2017,2017,MN,Rock_River_Tributary,43.929,-96.185,Oxbow,oxbow,12.36,163.1,14.5,6.4,807,8.83,22
18MNRKKNZ56,SV1,2018,2018,MN,Kanaranzi_Creek,43.637,-95.961,Oxbow,oxbow,21,59.6,,63.2,857,,5
17MNRKKNZ43,SV1,5/22/2017,2017,MN,Kanaranzi_Creek,43.637,-95.961,Oxbow,oxbow,12.57,126.9,11.26,3.1,876.3,8.37,0
16MNRKKNZ35,SHURR,5/18/2016,2016,MN,Kanaranzi_Creek,43.502,-96.115,Oxbow,oxbow,21.8,201.7,15,18.5,877.9,8.2,5
19MNRKLRKR04,RA2,2019,2019,MN,Little_Rock_River,43.574,-95.756,Oxbow,oxbow,11.2,64.5,,0.3,890,,0
17MNBSBVRT01,HA2,6/1/2017,2017,MN,Beaver_Creek_Tributary,43.615,-96.35,Oxbow,oxbow,14.34,113.1,9.73,18.8,890.2,8.34,4
17MNBSBVRT02,HA3,6/1/2017,2017,MN,Beaver_Creek_Tributary,43.615,-96.352,Oxbow,oxbow,14.27,204.5,17.49,28.1,948.7,8.72,0
16MNRKKNZ67,MA2,6/15/2016,2016,MN,Kanaranzi_Creek,43.639,-95.958,Oxbow,oxbow,24.05,303.2,21.26,58.2,1079,8.43,0
17MNRKKNZ42,MA2,5/22/2017,2017,MN,Kanaranzi_Creek,43.639,-95.958,Oxbow,oxbow,13.44,201.2,17.48,41.2,1116,8.89,17
17MNBSBVRT04,HA1,6/1/2017,2017,MN,Beaver_Creek_Tributary,43.615,-96.35,Oxbow,oxbow,15.83,99.7,8.33,24.6,1258,8.47,0
18MNRKRKR34,BA1,2018,2018,MN,Rock_River,43.649,-96.198,Oxbow,oxbow,16.9,79.5,,106,1390,,0
15MNRKKNZ06,MA2,6/4/2015,2015,MN,Kanaranzi_Creek,43.656,-96.074,Oxbow,oxbow,18.11,35,3.17,127.7,1557,6.11,0
17MNBSWLW55,GE3,5/23/2017,2017,MN,Willow_Creek,44.151,-96.416,Oxbow,oxbow,.,.,.,.,.,.,17
18MNBSPPST106,HUFPB,2018,2018,MN,Pipestone_Creek_Tributary,44.134,-96.19,Pond,oxbow,22,176.4,,115.8,314,,0
18MNBSPPST82,HUFPB,2018,2018,MN,Pipestone_Creek_Tributary,44.132,-96.185,Pond,oxbow,17.3,52.5,,110.2,808,,0
56,71116-1,11-Jul-16,2016,IA,West_Buttrick_Creek,42.12059161,-94.31923917,Restored_Oxbow,oxbow,26.54,,9.97,22.2,50,8.23,8
146,Prairie_8_Oxbow(2),8-Jun-17,2017,IA,Prairie_Creek,42.88706506,-94.01139679,Restored_Oxbow,oxbow,22,,6.5,65.5,130,7.7,337
133,60717-1,7-Jun-17,2017,IA,West_Buttrick_Creek,42.11662691,-94.30846746,Restored_Oxbow,oxbow,22.5,,5.1,24.25,283,9.87,0
166,63017-1,30-Jun-17,2017,IA,Cedar_Creek,42.27081306,-94.5013721,Restored_Oxbow,oxbow,21.03,,9.31,30.2,285,8.97,13
25,61216-3,12-Jun-16,2016,IA,Praire_Creek,42.2670847,-94.79433246,Restored_Oxbow,oxbow,29.9,,7.7,9.43,290.7,9.1,0
41,62916-1,29-Jun-16,2016,IA,Camp_Creek,42.35973358,-94.82647576,Restored_Oxbow,oxbow,23.99,,4,97.3,322,7.99,0
173,71217-1,12-Jul-17,2017,IA,Lake_Creek,42.24505059,-94.78149208,Restored_Oxbow,oxbow,25.86,,11.12,21.4,323,9.36,0
19,61116-1,11-Jun-16,2016,IA,Cedar_Creek,42.25321324,-94.52374808,Restored_Oxbow,oxbow,28,,2.06,37.4,327.8,7.6,24
16,60816-6,8-Jun-16,2016,IA,Cedar_Creek,42.25466411,-94.52717278,Restored_Oxbow,oxbow,27.5,,2.23,42.8,350.8,8.2,0
52,70816-2,8-Jul-16,2016,IA,West_Buttrick_Creek,42.19877405,-94.34436057,Restored_Oxbow,oxbow,24.38,,2.51,15.2,402,7.65,0
7,WFC_Frye_Oxbow,18-May-16,2016,IA,White_Fox_Creek,42.52301507,-93.78770911,Restored_Oxbow,oxbow,17.9,,10.28,5.38,404.9,8.1,0
123,WFC_Frye_Oxbow(2),12-Oct-16,2016,IA,White_Fox_Creek,42.52301507,-93.78770911,Restored_Oxbow,oxbow,17.9,,10.28,5.38,404.9,8.1,0
5,60516-1,5-Jun-16,2016,IA,Cedar_Creek,42.17859755,-94.56232559,Restored_Oxbow,oxbow,22.2,,3.82,12,408,8,0
33,61716-1,17-Jun-16,2016,IA,Cedar_Creek,42.27075021,-94.50203183,Restored_Oxbow,oxbow,25.1,,3.65,30.2,408.8,8.3,46
145,Prairie_9_Oxbow(2),9-Jun-17,2017,IA,Prairie_Creek,42.88830793,-94.01162369,Restored_Oxbow,oxbow,21,,4.71,31.4,428.7,8,453
176,71317-3,13-Jul-17,2017,IA,Lake_Creek,42.24250503,-94.7811538,Restored_Oxbow,oxbow,24.05,,5.07,28.2,439,7.8,0
51,70816-1,8-Jul-16,2016,IA,West_Buttrick_Creek,42.1986077,-94.34501376,Restored_Oxbow,oxbow,24.16,,7.29,16.9,450,8.31,0
15,60816-5,8-Jun-16,2016,IA,Cedar_Creek,42.25707196,-94.53128416,Restored_Oxbow,oxbow,30.3,,6.1,62.6,455.4,8.8,0
53,70816-3,8-Jul-16,2016,IA,West_Buttrick_Creek,42.19758667,-94.3440848,Restored_Oxbow,oxbow,23.47,,4.48,34.2,459,7.85,1
197,Otter_StevensonSouth_Oxbow,10-Jul-17,2017,IA,Otter_Creek,42.77787854,-93.91085073,Restored_Oxbow,oxbow,26.4,,3.57,12.2,462.4,8.4,6
139,Otter_StevensonNorth_Oxbow,22-Jun-17,2017,IA,Otter_Creek,42.77846866,-93.91160974,Restored_Oxbow,oxbow,22.7,,3.85,23.8,474.4,7.4,12
65,71516-2,15-Jul-16,2016,MN,Beaver_Creek,43.72995264,-96.29285269,Restored_Oxbow,oxbow,29.9,,12.67,27.1,489,9,19
134,60817-1,8-Jun-17,2017,IA,West_Buttrick_Creek,42.12047203,-94.31915703,Restored_Oxbow,oxbow,22.65,,9.97,22.2,493,8.45,0
