
	ALL WATERSHED COMBINED

Y[i] ~ dbern(p[i])
    logit(p[i]) <- alpha[Watshed[i]] + 
      beta[1]* Agr[i] +
      beta[2] * Elv[i] +
      beta[3] * Area[i] +
      beta[4] * Slop[i] +
      beta[5] * s[i]
    
    # connectivity summed over j
    # subtract c[i,Segment_id[i]] from the sum; self-connection removal
    s[i] <- sum(c[i,]) - c[i, Segment_id[i]]
    
    # connectivity measure for a specific pair of i and j
    for(j in 1:N_site) {
      c[i,j] <- exp(u[i,j] + d[i,j])
      
      u[i,j] <- -alpha[1] * U[Segment_id[i], j]
      d[i,j] <- -alpha[2] * D[Segment_id[i], j]


                mean          sd          2.5%           50%      97.5% Rhat n.eff
s[141]    9.34159965 12.88905070  3.977184e+00  6.9889500000 26.7909425 1.14  1278
s[142]    9.34159965 12.88905070  3.977184e+00  6.9889500000 26.7909425 1.14  1278
s[143]    3.36787479  2.30344562  1.704370e+00  2.6748350000  8.8424005 1.00  1289
s[144]    0.09921507  0.56587613  7.119087e-06  0.0036636600  0.7556597 1.15  1409
s[145]    5.45360947  5.42857445  2.582217e+00  4.4739050000 13.3810375 1.14  1324
s[146]    5.45360947  5.42857445  2.582217e+00  4.4739050000 13.3810375 1.14  1324
s[147]    4.92037149  5.96030595  1.719816e+00  3.7839500000 14.3383500 1.13  1343
s[148]    5.47152113  5.47984190  2.579364e+00  4.4510350000 13.4423825 1.14  1321
s[149]    8.43718483  9.01121326  2.841606e+00  6.5775900000 23.5766375 1.09  1324
s[150]    4.29481991  1.58399375  3.174525e+00  3.8548000000  8.0682337 1.01  1381
s[151]    4.29481991  1.58399375  3.174525e+00  3.8548000000  8.0682337 1.01  1381
s[152]    5.77803765  9.58993117  2.336046e+00  4.1293500000 18.1112075 1.14  1269
s[153]   11.20971319 12.08852344  4.996603e+00  9.0222550000 27.7264425 1.13  1298
s[154]   10.56567405 11.32197733  4.462187e+00  8.5617350000 26.3619575 1.13  1300
s[155]    9.56051924 12.58780578  3.204139e+00  7.1864100000 27.2901300 1.13  1295
s[156]    8.21816947  9.10421878  2.974557e+00  6.2695700000 23.4793750 1.09  1318
s[157]    4.53097938 13.55013333  1.252449e+00  2.7151250000 16.2723325 1.19  1239
s[158]    5.04932800 14.10095446  1.516948e+00  3.4947950000 14.3483600 1.21  1245
