Site_Num,County,Year,Township,Range,Sections,Stream,Habitat,Pool_Riffle,Substrate,Lat,Long,Topeka_Shiner
221_3 ,Nobles,2016,103,42,32,Kanaranzi_Creek,in_channel,pool_,,43.688,-95.907,0
221_4 ,Nobles,2016,103,42,32,Kanaranzi_Creek,in_channel,pool_,,43.688,-95.908,0
221_5 ,Nobles,2016,103,42,32,Kanaranzi_Creek,in_channel,pool_,,43.687,-95.908,0
221_6 ,Nobles,2016,103,42,32,Kanaranzi_Creek,in_channel,pool_,,43.687,-95.907,0
221_7 ,Nobles,2016,103,42,32,Kanaranzi_Creek,in_channel,pool_,,43.686,-95.906,0
221_8 ,Nobles,2016,103,42,32,Kanaranzi_Creek,in_channel,pool_,,43.685,-95.905,0
221_9 ,Nobles,2016,103,42,32,Kanaranzi_Creek,in_channel,in_channel/MCB_,,43.684,-95.907,0
221_10 ,Nobles,2016,103,42,32,Kanaranzi_Creek,in_channel,pool_,,43.683,-95.907,0
222_1,Pipestone,2016,106,44,33,Tributary_Rock_River,in_channel,channel_boarder_pool,,43.946,-96.143,1
223_1,Nobles,2016,104,43,29,Champepadan_Creek,off_channel,pool/off-channel,,43.784,-96.031,1
224_1,Rock,2016,104,45,5,Beaver_Creek,in_channel,glide_pool/run,,43.761,-96.255,1
225_1,Rock,2016,102,44,16,Elk_Creek,in_channel,channel_boarder_pool,,43.638,-96.115,1
226_1 ,Rock,2016,104,47,12,Split_Rock_Creek,in_channel,bend_pool_,,43.832,-96.415,0
226_2 ,Rock,2016,104,47,13,Split_Rock_Creek,in_channel,bend_pool_,,43.831,-96.414,0
226_3 ,Rock,2016,104,47,14,Split_Rock_Creek,in_channel,channel_border_pool,,43.832,-96.413,1
227_1,Pipestone,2016,106,44,14,Kanaranzi_Creek,in_channel,in-channel/MCB,,43.965,-96.159,1
228_1,Nobles,2016,102,43,14,Kanaranzi_Creek,off_channel,pool/off-channel,,43.645,-95.960,0
228_2,Nobles,2016,102,43,14,Kanaranzi_Creek,off_channel,pool/off-channel,,43.644,-95.960,1
229_1 ,Pipestone,2016,106,46,18,Pipstone_Creek,in_channel,channel_border_pool,,43.989,-96.426,0
229_2 ,Pipestone,2016,106,46,18,Pipstone_Creek,in_channel,channel_margin_,,43.989,-96.424,0
229_3 ,Pipestone,2016,106,46,18,Pipstone_Creek,in_channel,riffle_,,43.989,-96.426,0
229_4 ,Pipestone,2016,106,46,18,Pipstone_Creek,in_channel,main_channel_pool,,43.988,-96.424,1
230_1,Pipestone,2016,105,45,26,Poplar_Creek,off_channel,pool/off-channel,,43.865,-96.223,1
231_1 ,Pipestone,2016,107,47,1,Flandreau_Creek,in_channel,main_channel_,,44.099,-96.429,0
231_2 ,Pipestone,2016,107,46,6,Flandreau_Creek,in_channel,riffle_,,44.099,-96.428,0
231_3 ,Pipestone,2016,107,46,6,Flandreau_Creek,in_channel,in-channel/MCB,,44.099,-96.428,0
231_4 ,Pipestone,2016,107,46,6,Flandreau_Creek,in_channel,in-channel/MCB,,44.098,-96.427,1
232_1,Rock,2016,103,45,18,Beaver_Creek,in_channel,in-channel/MCB,,43.719,-96.278,1
233_1 ,Pipestone,2016,105,44,22,Champepadan_Creek,in_channel,glide_run/pool_,,43.877,-96.114,0
233_2 ,Pipestone,2016,105,44,22,Champepadan_Creek,in_channel,riffle_,,43.878,-96.115,0
233_3 ,Pipestone,2016,105,44,22,Champepadan_Creek,in_channel,bend_pool_,,43.879,-96.115,0
233_4 ,Pipestone,2016,105,44,22,Champepadan_Creek,in_channel,channel_border_pool,,43.880,-96.115,0
233_5 ,Pipestone,2016,105,44,22,Champepadan_Creek,in_channel,bend_pool_,,43.876,-96.113,0
233_6 ,Pipestone,2016,105,44,22,Champepadan_Creek,in_channel,bend_pool_,,43.876,-96.111,0
233_7 ,Pipestone,2016,105,44,22,Champepadan_Creek,in_channel,bend_pool_,,43.874,-96.109,0
233_8 ,Pipestone,2016,105,44,22,Champepadan_Creek,in_channel,bend_pool_,,43.875,-96.107,0
233_9 ,Pipestone,2016,105,44,22,Champepadan_Creek,in_channel,bend_pool_,,43.876,-96.107,0
233_10 ,Pipestone,2016,105,44,22,Champepadan_Creek,in_channel,channel_boarder_pool,,43.876,-96.106,0
234_1,Murray,2016,105,43,8,Champepadan_Creek,in_channel,main_channel,,43.911,-96.032,0
234_2,Murray,2016,105,43,8,Champepadan_Creek,in_channel,in-channel/MCB,,43.911,-96.031,1
235_1,Nobles,2016,101,41,4,Little_Rock_River,off_channel,pool/off-channel,,43.576,-95.758,1
236_1,Pipestone,2016,105,44,9,Rock_River,in_channel,in-channel/MCB,,43.908,-96.145,1
237_1,Rock,2016,103,44,6,Tributary_Rock_River,in_channel,in-channel/MCB,,43.757,-96.168,1
238_1,Rock,2016,103,44,29,Rock_River,in_channel,channel_boarder,,43.702,-96.150,1
239_1,Rock,2016,103,45,31,Little_Beaver_Creek,in_channel,main_channel,,43.683,-96.273,1
240_1,Pipestone,2016,108,46,17,Willow_creek,in_channel,channel_boarder,,44.158,-96.399,1
241_1 ,Lincoln,2017,109,46,3,Medary_Creek,in_channel,dugout_pond_,,44.283,-96.374,0
241_2 ,Lincoln,2017,109,46,3,Medary_Creek,in_channel,main_channel_,,44.283,-96.375,0
241_3 ,Lincoln,2017,109,46,3,Medary_Creek,in_channel,bend_pool_,,44.282,-96.376,0
241_4 ,Lincoln,2017,109,46,3,Medary_Creek,in_channel,main_channel_,,44.282,-96.378,0
241_5 ,Lincoln,2017,109,46,3,Medary_Creek,in_channel,bend_pool_,,44.281,-96.378,0
241_6 ,Lincoln,2017,109,46,3,Medary_Creek,in_channel,bend_pool_,,44.281,-96.379,0
241_7 ,Lincoln,2017,109,46,3,Medary_Creek,in_channel,bend_pool_,,44.281,-96.382,0
241_8 ,Lincoln,2017,109,46,3,Medary_Creek,in_channel,bend_pool_,,44.281,-96.383,0
241_9 ,Lincoln,2017,109,46,3,Medary_Creek,in_channel,main_channel_,,44.280,-96.383,0
241_10 ,Lincoln,2017,109,46,3,Medary_Creek,in_channel,main_channel,,44.280,-96.383,0
242_1,Lincoln,2017,109,46,4,Medary_Creek,in_channel,pool,,44.279,-96.384,1
243_1,Pipestone,2017,108,46,1,Flandreau_Creek,in_channel,bend_pool,,44.197,-96.326,0
243_2,Pipestone,2017,108,46,1,Flandreau_Creek,in_channel,main_channel,,44.197,-96.326,0
243_3,Pipestone,2017,108,46,1,Flandreau_Creek,in_channel,main_channel,,44.195,-96.328,0
243_4,Pipestone,2017,108,46,1,Flandreau_Creek,in_channel,pool,,44.193,-96.328,0
243_5,Pipestone,2017,108,46,1,Flandreau_Creek,in_channel,bend_pool,,44.193,-96.328,0
243_6,Lincoln,2017,109,45,36,Flandreau_Creek,in_channel,pool,,44.198,-96.326,0
243_7,Lincoln,2017,109,45,36,Flandreau_Creek,in_channel,pool,,44.198,-96.326,0
243_8,Lincoln,2017,109,45,36,Flandreau_Creek,in_channel,pool,,44.199,-96.326,0
243_9,Lincoln,2017,109,45,36,Flandreau_Creek,in_channel,bend_pool_,,44.201,-96.324,0
